,Unnamed: 0,content,final_text,token,stop_review,stem_review,prepos_text,polarity_score,polarity
239,268, kalau begitu batalkan kenaikan ppn  ,kalau begitu batalkan kenaikan ppn,"['batalkan', 'kenaikan', 'ppn']","['batalkan', 'kenaikan', 'ppn']",batal naik ppn,"['batal', 'naik', 'ppn']",-4,0
240,269,biar dia aja  kena ppn   gamau jing,biar dia saja kena ppn tidak mau jing,"['biar', 'kena', 'ppn', 'jing']","['biar', 'kena', 'ppn', 'jing']",biar kena ppn jing,"['biar', 'kena', 'ppn', 'jing']",-5,0
241,270,  udah simulasi frugal living untuk kenaikan ppn  apa gimana  der,sudah simulasi frugal living untuk kenaikan ppn apa bagaimana der,"['simulasi', 'frugal', 'living', 'kenaikan', 'ppn', 'der']","['simulasi', 'frugal', 'living', 'kenaikan', 'ppn', 'der']",simulasi frugal living naik ppn der,"['simulasi', 'frugal', 'living', 'naik', 'ppn', 'der']",1,1
242,272,program apa sih  diserang makan gratis pemborosan populis tidak stragegis ppn  cara cepat malakin rakyat utk program populis pemborosan  tidak strategis itu kan kritik dengan argumen valid kok diancem lele ,program apa sih diserang makan gratis pemborosan populis tidak stragegis ppn cara cepat malakin rakyat untuk program populis pemborosan tidak strategis itu akan kritik dengan argumen valid kok diancem lele,"['program', 'sih', 'diserang', 'makan', 'gratis', 'pemborosan', 'populis', 'stragegis', 'ppn', 'cepat', 'malakin', 'rakyat', 'program', 'populis', 'pemborosan', 'strategis', 'kritik', 'argumen', 'valid', 'diancem', 'lele']","['program', 'sih', 'diserang', 'makan', 'gratis', 'pemborosan', 'populis', 'stragegis', 'ppn', 'cepat', 'malakin', 'rakyat', 'program', 'populis', 'pemborosan', 'strategis', 'kritik', 'argumen', 'valid', 'diancem', 'lele']",program sih serang makan gratis boros populis stragegis ppn cepat malakin rakyat program populis boros strategis kritik argumen valid diancem lele,"['program', 'sih', 'serang', 'makan', 'gratis', 'boros', 'populis', 'stragegis', 'ppn', 'cepat', 'malakin', 'rakyat', 'program', 'populis', 'boros', 'strategis', 'kritik', 'argumen', 'valid', 'diancem', 'lele']",-19,0
243,273,berarti yang kena ppn  adalah kabar buruk ,berarti yang kena ppn adalah kabar buruk,"['kena', 'ppn', 'kabar', 'buruk']","['kena', 'ppn', 'kabar', 'buruk']",kena ppn kabar buruk,"['kena', 'ppn', 'kabar', 'buruk']",-9,0
244,274, acara gebrak meja udah lawatan keluar negeri dengan bahasa inggris was wes wos sudah lalu kerja bapak untuk rakyat manaa ppn naik  bajak kendaraan ditambah   uang semakin susah dicari pangan pada naik bapak mencekik rakyat pak kasian rakyat ,acara gebrak meja sudah lawatan keluar negeri dengan bahasa inggris ragu ragu kita wos sudah lalu kerja bapak untuk rakyat manaa ppn naik bajak kendaraan ditambah uang semakin susah dicari pangan pada naik bapak mencekik rakyat pak kasian rakyat,"['acara', 'gebrak', 'meja', 'lawatan', 'negeri', 'bahasa', 'inggris', 'ragu', 'ragu', 'wos', 'kerja', 'rakyat', 'manaa', 'ppn', 'bajak', 'kendaraan', 'ditambah', 'uang', 'susah', 'dicari', 'pangan', 'mencekik', 'rakyat', 'kasian', 'rakyat']","['acara', 'gebrak', 'meja', 'lawatan', 'negeri', 'bahasa', 'inggris', 'ragu', 'ragu', 'wos', 'kerja', 'rakyat', 'manaa', 'ppn', 'bajak', 'kendaraan', 'ditambah', 'uang', 'susah', 'dicari', 'pangan', 'mencekik', 'rakyat', 'kasian', 'rakyat']",acara gebrak meja lawat negeri bahasa inggris ragu ragu wos kerja rakyat manaa ppn bajak kendara tambah uang susah cari pangan cekik rakyat kasi rakyat,"['acara', 'gebrak', 'meja', 'lawat', 'negeri', 'bahasa', 'inggris', 'ragu', 'ragu', 'wos', 'kerja', 'rakyat', 'manaa', 'ppn', 'bajak', 'kendara', 'tambah', 'uang', 'susah', 'cari', 'pangan', 'cekik', 'rakyat', 'kasi', 'rakyat']",-18,0
245,275, gpp mahasewa plg  mewakili guwa  nolak knaikn ppn  trusin demo nya jgn ampe kendor ,tidak apa apa mahasewa paling mewakili guwa nolak knaikn ppn trusin demo nya jangan sampai kendor,"['mahasewa', 'mewakili', 'guwa', 'nolak', 'knaikn', 'ppn', 'trusin', 'demo', 'nya', 'kendor']","['mahasewa', 'mewakili', 'guwa', 'nolak', 'knaikn', 'ppn', 'trusin', 'demo', 'nya', 'kendor']",mahasewa wakil guwa nolak knaikn ppn trusin demo nya kendor,"['mahasewa', 'wakil', 'guwa', 'nolak', 'knaikn', 'ppn', 'trusin', 'demo', 'nya', 'kendor']",-3,0
246,276, cuman  indonesia pejabatnya gila gaya hidup mewah ala monaco rakyat diperas  berbagai kewajiban ppn  pajak kendaraan naik bbm subsidi dihapus biaya kuliah naik bpjs naik negeri para bedebah,cuman indonesia pejabatnya gila gaya hidup mewah ala monaco rakyat diperas berbagai kewajiban ppn pajak kendaraan naik bbm subsidi dihapus biaya kuliah naik bpjs naik negeri para bedebah,"['cuman', 'indonesia', 'pejabatnya', 'gila', 'gaya', 'hidup', 'mewah', 'ala', 'monaco', 'rakyat', 'diperas', 'kewajiban', 'ppn', 'pajak', 'kendaraan', 'bbm', 'subsidi', 'dihapus', 'biaya', 'kuliah', 'bpjs', 'negeri', 'bedebah']","['cuman', 'indonesia', 'pejabatnya', 'gila', 'gaya', 'hidup', 'mewah', 'ala', 'monaco', 'rakyat', 'diperas', 'kewajiban', 'ppn', 'pajak', 'kendaraan', 'bbm', 'subsidi', 'dihapus', 'biaya', 'kuliah', 'bpjs', 'negeri', 'bedebah']",cuman indonesia jabat gila gaya hidup mewah ala monaco rakyat peras wajib ppn pajak kendara bbm subsidi hapus biaya kuliah bpjs negeri bedebah,"['cuman', 'indonesia', 'jabat', 'gila', 'gaya', 'hidup', 'mewah', 'ala', 'monaco', 'rakyat', 'peras', 'wajib', 'ppn', 'pajak', 'kendara', 'bbm', 'subsidi', 'hapus', 'biaya', 'kuliah', 'bpjs', 'negeri', 'bedebah']",-16,0
247,277,kami rakyat indonesia percaya  mencoba percaya apa yang dikatakan pak presiden yang tak berniat mempersulit rakyat karena itu segera batalkan kenaikan ppn yang  itu tak perlu menunggu sampai  hari ,kami rakyat indonesia percaya mencoba percaya apa yang dikatakan pak presiden yang tidak berniat mempersulit rakyat karena itu segera batalkan kenaikan ppn yang itu tidak perlu menunggu sampai hari,"['rakyat', 'indonesia', 'percaya', 'mencoba', 'percaya', 'presiden', 'berniat', 'mempersulit', 'rakyat', 'batalkan', 'kenaikan', 'ppn', 'menunggu']","['rakyat', 'indonesia', 'percaya', 'mencoba', 'percaya', 'presiden', 'berniat', 'mempersulit', 'rakyat', 'batalkan', 'kenaikan', 'ppn', 'menunggu']",rakyat indonesia percaya coba percaya presiden niat sulit rakyat batal naik ppn tunggu,"['rakyat', 'indonesia', 'percaya', 'coba', 'percaya', 'presiden', 'niat', 'sulit', 'rakyat', 'batal', 'naik', 'ppn', 'tunggu']",3,1
248,278, hmm jangan lupakan penderitaan rakyat  membiarkan ppn  pak buktikan bahwa bapak bukan hanya omon saja kami senantiasa mendoakan semoga alloh menjaga bapak dan memberikan kemudahan dalam mensejahterakan rakyat  aamiin,hmm jangan lupakan penderitaan rakyat membiarkan ppn pak buktikan bahwa bapak bukan hanya omon saja kami senantiasa mendoakan semoga alloh menjaga bapak dan memberikan kemudahan dalam menyejahterakan rakyat aamiin,"['hmm', 'lupakan', 'penderitaan', 'rakyat', 'membiarkan', 'ppn', 'buktikan', 'omon', 'senantiasa', 'mendoakan', 'semoga', 'alloh', 'menjaga', 'kemudahan', 'menyejahterakan', 'rakyat', 'aamiin']","['hmm', 'lupakan', 'penderitaan', 'rakyat', 'membiarkan', 'ppn', 'buktikan', 'omon', 'senantiasa', 'mendoakan', 'semoga', 'alloh', 'menjaga', 'kemudahan', 'menyejahterakan', 'rakyat', 'aamiin']",hmm lupa derita rakyat biar ppn bukti omon senantiasa doa moga alloh jaga mudah sejahtera rakyat aamiin,"['hmm', 'lupa', 'derita', 'rakyat', 'biar', 'ppn', 'bukti', 'omon', 'senantiasa', 'doa', 'moga', 'alloh', 'jaga', 'mudah', 'sejahtera', 'rakyat', 'aamiin']",-7,0
249,279, tentu ribut krn  ini brlanjut maka peluang kenaikan ppn  akan terbuka lebar belajar  sukses kenaikan  pnguasa dgn pede mmutuskan menaikkan ppn   sukses  maka pnguasa akan menaikkan  dgn berbagai dalih krn  sdh disiapkan sejak awal peduli amat sama rakyat,tentu ribut karena ini brlanjut maka peluang kenaikan ppn akan terbuka lebar belajar sukses kenaikan pnguasa dengan pede mmutuskan menaikkan ppn sukses maka pnguasa akan menaikkan dengan berbagai dalih karena sudah disiapkan sejak awal peduli amat sama rakyat,"['ribut', 'brlanjut', 'peluang', 'kenaikan', 'ppn', 'terbuka', 'lebar', 'belajar', 'sukses', 'kenaikan', 'pnguasa', 'pede', 'mmutuskan', 'menaikkan', 'ppn', 'sukses', 'pnguasa', 'menaikkan', 'dalih', 'disiapkan', 'peduli', 'rakyat']","['ribut', 'brlanjut', 'peluang', 'kenaikan', 'ppn', 'terbuka', 'lebar', 'belajar', 'sukses', 'kenaikan', 'pnguasa', 'pede', 'mmutuskan', 'menaikkan', 'ppn', 'sukses', 'pnguasa', 'menaikkan', 'dalih', 'disiapkan', 'peduli', 'rakyat']",ribut brlanjut peluang naik ppn buka lebar ajar sukses naik pnguasa pede mmutuskan naik ppn sukses pnguasa naik dalih siap peduli rakyat,"['ribut', 'brlanjut', 'peluang', 'naik', 'ppn', 'buka', 'lebar', 'ajar', 'sukses', 'naik', 'pnguasa', 'pede', 'mmutuskan', 'naik', 'ppn', 'sukses', 'pnguasa', 'naik', 'dalih', 'siap', 'peduli', 'rakyat']",8,1
250,282, padahal  berseragam pun penghasilnya akan habis oleh ppn  belanja anak istrinya pun akan terbebani ppn  ,padahal berseragam pun penghasilnya akan habis oleh ppn belanja anak istrinya pun akan terbebani ppn,"['berseragam', 'penghasilnya', 'habis', 'ppn', 'belanja', 'anak', 'istrinya', 'terbebani', 'ppn']","['berseragam', 'penghasilnya', 'habis', 'ppn', 'belanja', 'anak', 'istrinya', 'terbebani', 'ppn']",seragam hasil habis ppn belanja anak istri beban ppn,"['seragam', 'hasil', 'habis', 'ppn', 'belanja', 'anak', 'istri', 'beban', 'ppn']",-5,0
251,283, mau  balikkan  jaman orba bro selamat buat kaum   milih dan buat seluruh masyarakat indonesia siap awal bulan  dimulai setiap transaksimu ada kenaikan ppn   awalnya  menjadi  mau apapun akan ada pajaknya ,mau balikkan jaman orba bro selamat buat kaum memilih dan buat seluruh masyarakat indonesia siap awal bulan dimulai setiap transaksimu ada kenaikan ppn awalnya menjadi mau apapun akan ada pajaknya,"['balikkan', 'jaman', 'orba', 'bro', 'selamat', 'kaum', 'memilih', 'masyarakat', 'indonesia', 'transaksimu', 'kenaikan', 'ppn', 'apapun', 'pajaknya']","['balikkan', 'jaman', 'orba', 'bro', 'selamat', 'kaum', 'memilih', 'masyarakat', 'indonesia', 'transaksimu', 'kenaikan', 'ppn', 'apapun', 'pajaknya']",balik jaman orba bro selamat kaum pilih masyarakat indonesia transaksi naik ppn apa pajak,"['balik', 'jaman', 'orba', 'bro', 'selamat', 'kaum', 'pilih', 'masyarakat', 'indonesia', 'transaksi', 'naik', 'ppn', 'apa', 'pajak']",-3,0
252,284,jualan  kampanye rontok satu persatu krn ulah sendiri pajak  naik  ppn   basmi koruptor  maafkan berantas judol gahar  awal melempem  tengah ngaku kewalahan  kan phk buruh sritex  wasalam,jualan kampanye rontok satu persatu karena ulah sendiri pajak naik ppn basmi koruptor maafkan berantas judol gahar awal melempem tengah ngaku kewalahan akan phk buruh sritex wasalam,"['jualan', 'kampanye', 'rontok', 'persatu', 'ulah', 'pajak', 'ppn', 'basmi', 'koruptor', 'maafkan', 'berantas', 'judol', 'gahar', 'melempem', 'ngaku', 'kewalahan', 'phk', 'buruh', 'sritex', 'wasalam']","['jualan', 'kampanye', 'rontok', 'persatu', 'ulah', 'pajak', 'ppn', 'basmi', 'koruptor', 'maafkan', 'berantas', 'judol', 'gahar', 'melempem', 'ngaku', 'kewalahan', 'phk', 'buruh', 'sritex', 'wasalam']",jual kampanye rontok satu ulah pajak ppn basmi koruptor maaf berantas judol gahar melempem ngaku kewalahan phk buruh sritex wasalam,"['jual', 'kampanye', 'rontok', 'satu', 'ulah', 'pajak', 'ppn', 'basmi', 'koruptor', 'maaf', 'berantas', 'judol', 'gahar', 'melempem', 'ngaku', 'kewalahan', 'phk', 'buruh', 'sritex', 'wasalam']",-12,0
253,285, kecil kemungkinannya karena pendapatan dlm apbn  sdh berasumsikan ppn  ,kecil kemungkinannya karena pendapatan dalam apbn sudah berasumsikan ppn,"['pendapatan', 'apbn', 'berasumsikan', 'ppn']","['pendapatan', 'apbn', 'berasumsikan', 'ppn']",dapat apbn asumsi ppn,"['dapat', 'apbn', 'asumsi', 'ppn']",-3,0
254,286, ampun sebelum ppn  aja biaya admin gue uda  dan ini gue masih subsidi nyesek kalau ditawar gini padahal uda murce gue ini   hand ,ampun sebelum ppn saja biaya admin saya sudah dan ini saya masih subsidi nyesek kalau ditawar begini padahal sudah murah saya ini hand,"['ampun', 'ppn', 'biaya', 'admin', 'subsidi', 'nyesek', 'ditawar', 'murah', 'hand']","['ampun', 'ppn', 'biaya', 'admin', 'subsidi', 'nyesek', 'ditawar', 'murah', 'hand']",ampun ppn biaya admin subsidi nyesek tawar murah hand,"['ampun', 'ppn', 'biaya', 'admin', 'subsidi', 'nyesek', 'tawar', 'murah', 'hand']",-9,0
255,287,ayo bem jangan kendor demonstrasi selama  tahun hubungi semua bem seluruh indonesia dari aceh papua untuk turun  jalan demo menolak kenaikan ppn  amp menghukum koruptor dgn hukuman seumur hidup atau hukuman mati serta  rampas semua aset kekayaannya oleh negara ,ayo bem jangan kendor demonstrasi selama tahun menghubungi semua bem seluruh indonesia dari aceh papua untuk turun jalan demo menolak kenaikan ppn amp menghukum koruptor dengan hukuman seumur hidup atau hukuman mati serta rampas semua aset kekayaannya oleh negara,"['ayo', 'bem', 'kendor', 'demonstrasi', 'menghubungi', 'bem', 'indonesia', 'aceh', 'papua', 'turun', 'jalan', 'demo', 'menolak', 'kenaikan', 'ppn', 'amp', 'menghukum', 'koruptor', 'hukuman', 'seumur', 'hidup', 'hukuman', 'mati', 'rampas', 'aset', 'kekayaannya', 'negara']","['ayo', 'bem', 'kendor', 'demonstrasi', 'menghubungi', 'bem', 'indonesia', 'aceh', 'papua', 'turun', 'jalan', 'demo', 'menolak', 'kenaikan', 'ppn', 'amp', 'menghukum', 'koruptor', 'hukuman', 'seumur', 'hidup', 'hukuman', 'mati', 'rampas', 'aset', 'kekayaannya', 'negara']",ayo bem kendor demonstrasi hubung bem indonesia aceh papua turun jalan demo tolak naik ppn amp hukum koruptor hukum umur hidup hukum mati rampas aset kaya negara,"['ayo', 'bem', 'kendor', 'demonstrasi', 'hubung', 'bem', 'indonesia', 'aceh', 'papua', 'turun', 'jalan', 'demo', 'tolak', 'naik', 'ppn', 'amp', 'hukum', 'koruptor', 'hukum', 'umur', 'hidup', 'hukum', 'mati', 'rampas', 'aset', 'kaya', 'negara']",-14,0
256,288,gue heran kenapa pemimpin yang baik  ada buzzer nya ,saya heran kenapa pemimpin yang baik ada buzzer nya,"['heran', 'pemimpin', 'buzzer', 'nya']","['heran', 'pemimpin', 'buzzer', 'nya']",heran pimpin buzzer nya,"['heran', 'pimpin', 'buzzer', 'nya']",1,1
257,289, tapi beli bahan bakunya kena ppn  jadi  naikin harga jual deh,tapi beli bahan bakunya kena ppn jadi naikin harga jual deh,"['beli', 'bahan', 'bakunya', 'kena', 'ppn', 'naikin', 'harga', 'jual', 'deh']","['beli', 'bahan', 'bakunya', 'kena', 'ppn', 'naikin', 'harga', 'jual', 'deh']",beli bahan baku kena ppn naikin harga jual deh,"['beli', 'bahan', 'baku', 'kena', 'ppn', 'naikin', 'harga', 'jual', 'deh']",-5,0
258,290, gendeng dari pada  bikin berita gak jelas begini mending tawuran  akunya sri mulyani sama prabowo suruh turunin ppn  skrng apa naik semua nyet monyet,gendeng dari pada bikin berita tidak jelas begini mending tawuran akunya sri mulyani sama prabowo suruh turunin ppn sekarang apa naik semua nyet monyet,"['gendeng', 'bikin', 'berita', 'mending', 'tawuran', 'akunya', 'sri', 'mulyani', 'prabowo', 'suruh', 'turunin', 'ppn', 'nyet', 'monyet']","['gendeng', 'bikin', 'berita', 'mending', 'tawuran', 'akunya', 'sri', 'mulyani', 'prabowo', 'suruh', 'turunin', 'ppn', 'nyet', 'monyet']",gendeng bikin berita mending tawur aku sri mulyani prabowo suruh turunin ppn nyet monyet,"['gendeng', 'bikin', 'berita', 'mending', 'tawur', 'aku', 'sri', 'mulyani', 'prabowo', 'suruh', 'turunin', 'ppn', 'nyet', 'monyet']",-15,0
259,291, ppn  baru bisa diturunkan oleh rezim baru pada rapbn  sesuai  hpp disini masalahnya adalah apakah harga yang terlanjur naik bisa diturunkan sedang rapbn  adalah kerja rezim lama ,ppn baru bisa diturunkan oleh rezim baru pada rapbn sesuai hpp disini masalahnya adalah apakah harga yang terlanjur naik bisa diturunkan sedang rapbn adalah kerja rezim lama,"['ppn', 'diturunkan', 'rezim', 'rapbn', 'sesuai', 'hpp', 'harga', 'terlanjur', 'diturunkan', 'rapbn', 'kerja', 'rezim']","['ppn', 'diturunkan', 'rezim', 'rapbn', 'sesuai', 'hpp', 'harga', 'terlanjur', 'diturunkan', 'rapbn', 'kerja', 'rezim']",ppn turun rezim rapbn sesuai hpp harga lanjur turun rapbn kerja rezim,"['ppn', 'turun', 'rezim', 'rapbn', 'sesuai', 'hpp', 'harga', 'lanjur', 'turun', 'rapbn', 'kerja', 'rezim']",2,1
260,292,trs belakangan dia lagi bertanya  kenapa ppn naik   soalnya tiket pesawat kena juga ,terus belakangan dia lagi bertanya kenapa ppn naik soalnya tiket pesawat kena juga,"['ppn', 'tiket', 'pesawat', 'kena']","['ppn', 'tiket', 'pesawat', 'kena']",ppn tiket pesawat kena,"['ppn', 'tiket', 'pesawat', 'kena']",-6,0
261,294, dosa  ngibul kyk mulyono rakyat  protes ppn   pura budeg ,dosa ngibul seperti mulyono rakyat protes ppn pura budeg,"['dosa', 'ngibul', 'mulyono', 'rakyat', 'protes', 'ppn', 'pura', 'budeg']","['dosa', 'ngibul', 'mulyono', 'rakyat', 'protes', 'ppn', 'pura', 'budeg']",dosa ngibul mulyono rakyat protes ppn pura budeg,"['dosa', 'ngibul', 'mulyono', 'rakyat', 'protes', 'ppn', 'pura', 'budeg']",-7,0
262,295,gatau soal ppn  tapi setuju dengan ppn  ,tidak tahu soal ppn tapi setuju dengan ppn,"['ppn', 'setuju', 'ppn']","['ppn', 'setuju', 'ppn']",ppn tuju ppn,"['ppn', 'tuju', 'ppn']",-1,0
263,296,kerja diluar negri tapi setuju dengan ppn  ,kerja diluar negri tapi setuju dengan ppn,"['kerja', 'diluar', 'negri', 'setuju', 'ppn']","['kerja', 'diluar', 'negri', 'setuju', 'ppn']",kerja luar negri tuju ppn,"['kerja', 'luar', 'negri', 'tuju', 'ppn']",1,1
264,297,pantesan prabowo ngebatalin pertemuannya sama anwar ibrahim dia takut diajak debat soal ppn  ,pantesan prabowo ngebatalin pertemuannya sama anwar ibrahim dia takut diajak debat soal ppn,"['pantesan', 'prabowo', 'ngebatalin', 'pertemuannya', 'anwar', 'ibrahim', 'takut', 'diajak', 'debat', 'ppn']","['pantesan', 'prabowo', 'ngebatalin', 'pertemuannya', 'anwar', 'ibrahim', 'takut', 'diajak', 'debat', 'ppn']",pantesan prabowo ngebatalin temu anwar ibrahim takut ajak debat ppn,"['pantesan', 'prabowo', 'ngebatalin', 'temu', 'anwar', 'ibrahim', 'takut', 'ajak', 'debat', 'ppn']",1,1
265,298, ada  salah deh fokus  subsidi nyatanya belum seratus hari malah udah ada rencana penghapusan subsidi bbm dll kenaikan ppn jadi  belum terbukti menopang pendapatan negara  ujungnya kesejahteraan masyarakat justru memberatkan masyarakat disaat daya beli menurun ,ada salah deh fokus subsidi nyatanya belum seratus hari bahkan sudah ada rencana penghapusan subsidi bbm dan lain lain kenaikan ppn jadi belum terbukti menopang pendapatan negara ujungnya kesejahteraan masyarakat justru memberatkan masyarakat disaat daya beli menurun,"['salah', 'deh', 'fokus', 'subsidi', 'seratus', 'rencana', 'penghapusan', 'subsidi', 'bbm', 'kenaikan', 'ppn', 'terbukti', 'menopang', 'pendapatan', 'negara', 'ujungnya', 'kesejahteraan', 'masyarakat', 'memberatkan', 'masyarakat', 'disaat', 'daya', 'beli', 'menurun']","['salah', 'deh', 'fokus', 'subsidi', 'seratus', 'rencana', 'penghapusan', 'subsidi', 'bbm', 'kenaikan', 'ppn', 'terbukti', 'menopang', 'pendapatan', 'negara', 'ujungnya', 'kesejahteraan', 'masyarakat', 'memberatkan', 'masyarakat', 'disaat', 'daya', 'beli', 'menurun']",salah deh fokus subsidi ratus rencana hapus subsidi bbm naik ppn bukti topang dapat negara ujung sejahtera masyarakat berat masyarakat saat daya beli turun,"['salah', 'deh', 'fokus', 'subsidi', 'ratus', 'rencana', 'hapus', 'subsidi', 'bbm', 'naik', 'ppn', 'bukti', 'topang', 'dapat', 'negara', 'ujung', 'sejahtera', 'masyarakat', 'berat', 'masyarakat', 'saat', 'daya', 'beli', 'turun']",-16,0
266,299, lah jadi efek ppn  maka kita harus banget mempertanyakan bantuan pemerintah yang bakal kita dapat ribet anjir bantuannya paling nanti waktu  tahunnya pemilu kambeng ,lah jadi efek ppn maka kita harus banget mempertanyakan bantuan pemerintah yang bakal kita dapat rumit anjir bantuannya paling nanti waktu tahunnya pemilu kambeng,"['efek', 'ppn', 'banget', 'bantuan', 'pemerintah', 'rumit', 'anjir', 'bantuannya', 'tahunnya', 'pemilu', 'kambeng']","['efek', 'ppn', 'banget', 'bantuan', 'pemerintah', 'rumit', 'anjir', 'bantuannya', 'tahunnya', 'pemilu', 'kambeng']",efek ppn banget bantu perintah rumit anjir bantu tahun milu kambeng,"['efek', 'ppn', 'banget', 'bantu', 'perintah', 'rumit', 'anjir', 'bantu', 'tahun', 'milu', 'kambeng']",-5,0
267,300, besok pasti bisa ngomong tolak ppn  ,besok pasti bisa bicara tolak ppn,"['besok', 'bicara', 'tolak', 'ppn']","['besok', 'bicara', 'tolak', 'ppn']",besok bicara tolak ppn,"['besok', 'bicara', 'tolak', 'ppn']",-4,0
268,301,ppn  goblok ,ppn goblok,"['ppn', 'goblok']","['ppn', 'goblok']",ppn goblok,"['ppn', 'goblok']",-5,0
269,302,kok saya sedikit curiga sama kenaikan ppn  dan pajak kendaraan yang ditambah  ini memang dinaikan atau aslinya inflasi yang dibalut menaikan pajak dan ppn biar  terjadi kerusuhan dan bubble,kok saya sedikit curiga sama kenaikan ppn dan pajak kendaraan yang ditambah ini memang dinaikan atau aslinya inflasi yang dibalut menaikan pajak dan ppn biar terjadi kerusuhan dan bubble,"['curiga', 'kenaikan', 'ppn', 'pajak', 'kendaraan', 'ditambah', 'dinaikan', 'aslinya', 'inflasi', 'dibalut', 'menaikan', 'pajak', 'ppn', 'biar', 'kerusuhan', 'bubble']","['curiga', 'kenaikan', 'ppn', 'pajak', 'kendaraan', 'ditambah', 'dinaikan', 'aslinya', 'inflasi', 'dibalut', 'menaikan', 'pajak', 'ppn', 'biar', 'kerusuhan', 'bubble']",curiga naik ppn pajak kendara tambah naik asli inflasi balut naik pajak ppn biar rusuh bubble,"['curiga', 'naik', 'ppn', 'pajak', 'kendara', 'tambah', 'naik', 'asli', 'inflasi', 'balut', 'naik', 'pajak', 'ppn', 'biar', 'rusuh', 'bubble']",-6,0
270,303,ada campur tangan pengusaha  balik ppn   ,ada campur tangan pengusaha balik ppn,"['campur', 'tangan', 'pengusaha', 'ppn']","['campur', 'tangan', 'pengusaha', 'ppn']",campur tangan usaha ppn,"['campur', 'tangan', 'usaha', 'ppn']",3,1
271,304,  baru tau patut diakui sih multilingual blio ini ,baru tahu patut diakui sih multilingual blio ini,"['patut', 'diakui', 'sih', 'multilingual', 'blio']","['patut', 'diakui', 'sih', 'multilingual', 'blio']",patut aku sih multilingual blio,"['patut', 'aku', 'sih', 'multilingual', 'blio']",-2,0
272,305, batalkan ppn  ,batalkan ppn,"['batalkan', 'ppn']","['batalkan', 'ppn']",batal ppn,"['batal', 'ppn']",-5,0
273,306,makan jeruk pas perut kosong bjir  gatau ternyata bisa nyakitin otw bongkar ,makan jeruk pas perut kosong bjir tidak tahu ternyata bisa nyakitin on the way bongkar,"['makan', 'jeruk', 'pas', 'perut', 'kosong', 'bjir', 'nyakitin', 'on', 'the', 'way', 'bongkar']","['makan', 'jeruk', 'pas', 'perut', 'kosong', 'bjir', 'nyakitin', 'on', 'the', 'way', 'bongkar']",makan jeruk pas perut kosong bjir nyakitin on the way bongkar,"['makan', 'jeruk', 'pas', 'perut', 'kosong', 'bjir', 'nyakitin', 'on', 'the', 'way', 'bongkar']",-6,0
274,307, batalkan ppn  ,batalkan ppn,"['batalkan', 'ppn']","['batalkan', 'ppn']",batal ppn,"['batal', 'ppn']",-5,0
275,308, jgn terlalu banyak omon  pak kejar koruptor sampe kutub  faktanya vonis maling ayam lebih berat lagi dari pada koruptor ratusan  dan jgn lupa cabut kenaikan ppn  ,jangan terlalu banyak omon pak kejar koruptor sampai kutub faktanya vonis maling ayam lebih berat lagi dari pada koruptor ratusan dan jangan lupa cabut kenaikan ppn,"['omon', 'kejar', 'koruptor', 'kutub', 'faktanya', 'vonis', 'maling', 'ayam', 'berat', 'koruptor', 'ratusan', 'lupa', 'cabut', 'kenaikan', 'ppn']","['omon', 'kejar', 'koruptor', 'kutub', 'faktanya', 'vonis', 'maling', 'ayam', 'berat', 'koruptor', 'ratusan', 'lupa', 'cabut', 'kenaikan', 'ppn']",omon kejar koruptor kutub fakta vonis maling ayam berat koruptor ratus lupa cabut naik ppn,"['omon', 'kejar', 'koruptor', 'kutub', 'fakta', 'vonis', 'maling', 'ayam', 'berat', 'koruptor', 'ratus', 'lupa', 'cabut', 'naik', 'ppn']",-12,0
276,309,kenapa pada takut ppn  wkwk akuu sebagai seller  kepotong kalau bayar pake qris ,kenapa pada takut ppn wkwk akuu sebagai seller terpotong kalau bayar pakai qris,"['takut', 'ppn', 'wkwk', 'akuu', 'seller', 'terpotong', 'bayar', 'pakai', 'qris']","['takut', 'ppn', 'wkwk', 'akuu', 'seller', 'terpotong', 'bayar', 'pakai', 'qris']",takut ppn wkwk akuu seller potong bayar pakai qris,"['takut', 'ppn', 'wkwk', 'akuu', 'seller', 'potong', 'bayar', 'pakai', 'qris']",-7,0
277,310, track record nya dia pilpres kemaren mendukung  jadi  sok paling pinter  sok german ini kemungkinan buzzer setelah dia mendukung kenaikan ppn  ,track record nya dia pilpres kemarin mendukung jadi sok paling pinter sok german ini kemungkinan buzzer setelah dia mendukung kenaikan ppn,"['track', 'record', 'nya', 'pilpres', 'kemarin', 'mendukung', 'sok', 'pinter', 'sok', 'german', 'buzzer', 'mendukung', 'kenaikan', 'ppn']","['track', 'record', 'nya', 'pilpres', 'kemarin', 'mendukung', 'sok', 'pinter', 'sok', 'german', 'buzzer', 'mendukung', 'kenaikan', 'ppn']",track record nya pilpres kemarin dukung sok pinter sok german buzzer dukung naik ppn,"['track', 'record', 'nya', 'pilpres', 'kemarin', 'dukung', 'sok', 'pinter', 'sok', 'german', 'buzzer', 'dukung', 'naik', 'ppn']",13,1
